name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;251;0;368;3109;1171;3109;1171;0
header;185;187;185;221;1805;221;1805;187
A;443;109;443;112;444;112;444;109
A;1133;249;1133;276;1154;276;1154;249
A;671;725;671;731;696;731;696;725
B;349;756;349;766;360;766;360;756
B;1141;923;1141;949;1160;949;1160;923
A;875;941;875;952;886;952;886;941
A;628;1516;628;1526;639;1526;639;1516
C;1134;1626;1134;1654;1154;1654;1154;1626
A;897;1887;897;1897;908;1897;908;1887
A;700;1980;700;1990;710;1990;710;1980
D;1139;2302;1139;2328;1158;2328;1158;2302
A;716;2314;716;2323;725;2323;725;2314
B;821;2715;821;2731;844;2731;844;2715
A;553;2716;553;2743;563;2743;563;2716
B;514;2717;514;2731;536;2731;536;2717
