name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;484;0;601;3103;842;3103;958;0
header;64;150;64;191;1686;191;1686;150
A;852;143;852;144;853;144;853;143
A;798;207;798;207;799;207;799;207
A;749;348;749;374;763;374;763;348
A;779;449;779;455;786;455;786;449
B;508;459;508;471;516;471;516;459
A;562;504;562;516;569;516;569;504
A;563;736;563;748;570;748;570;736
A;566;1358;566;1360;567;1360;567;1358
B;757;1417;757;1437;776;1437;776;1417
A;734;2061;734;2087;748;2087;748;2061
C;768;2207;768;2227;784;2227;784;2207
